Date,Open,High,Low,Close,Adj_Close,Volume
2019-12-18,7.010000,7.082000,6.982000,6.982000,6.837389,27312750
2019-12-19,6.990000,7.058000,6.949000,7.001000,6.855996,34951072
2019-12-20,7.103000,7.206000,7.036000,7.206000,7.056749,77087165
2019-12-23,7.173000,7.197000,7.141000,7.175000,7.026392,17957095
2019-12-27,7.175000,7.188000,7.133000,7.138000,6.990158,18044173
2019-12-30,7.140000,7.152000,7.072000,7.072000,6.925525,15783395
2020-01-02,7.167000,7.222000,7.084000,7.212000,7.062625,20131289
2020-01-03,7.200000,7.234000,7.113000,7.211000,7.061646,23955338
2020-01-06,7.200000,7.248000,7.153000,7.226000,7.076335,20570627
2020-01-07,7.239000,7.246000,7.201000,7.230000,7.080253,20205010
2020-01-08,7.231000,7.308000,7.209000,7.270000,7.119424,27509178
2020-01-09,7.303000,7.322000,7.280000,7.305000,7.153699,24702588
2020-01-10,7.318000,7.473000,7.311000,7.417000,7.263379,32141258
2020-01-13,7.440000,7.451000,7.375000,7.400000,7.246732,23287151
2020-01-14,7.401000,7.420000,7.320000,7.400000,7.246732,23995472
2020-01-15,7.411000,7.437000,7.353000,7.421000,7.267297,20462594
2020-01-16,7.454000,7.611000,7.443000,7.611000,7.453362,41807258
2020-01-17,7.630000,7.726000,7.616000,7.725000,7.565000,38566698
2020-01-20,7.580000,7.651000,7.566000,7.629000,7.629000,25110077
2020-01-21,7.629000,7.629000,7.500000,7.610000,7.610000,27487082
2020-01-22,7.615000,7.662000,7.545000,7.546000,7.546000,23085331
2020-01-23,7.532000,7.645000,7.520000,7.620000,7.620000,26232339
2020-01-24,7.640000,7.819000,7.630000,7.819000,7.819000,32777640
2020-01-27,7.730000,7.861000,7.662000,7.674000,7.674000,39675720
2020-01-28,7.660000,7.899000,7.650000,7.899000,7.899000,31445934
2020-01-29,7.900000,8.009000,7.864000,8.009000,8.009000,36065958
2020-01-30,7.964000,8.099000,7.923000,8.088000,8.088000,42296792
2020-01-31,8.100000,8.100000,7.854000,7.855000,7.855000,53439843
2020-02-03,7.881000,7.966000,7.860000,7.966000,7.966000,24166910
2020-02-04,7.970000,8.000000,7.900000,8.000000,8.000000,24119479
2020-02-05,7.967000,8.070000,7.883000,8.070000,8.070000,33696833
2020-02-06,8.047000,8.130000,7.949000,8.130000,8.130000,29730095
2020-02-07,8.200000,8.267000,8.081000,8.177000,8.177000,29540450
2020-02-10,8.198000,8.214000,8.087000,8.200000,8.200000,18948570
2020-02-11,8.203000,8.274000,8.146000,8.193000,8.193000,24769563
2020-02-12,8.200000,8.248000,8.098000,8.132000,8.132000,26171039
2020-02-13,8.101000,8.207000,8.100000,8.207000,8.207000,22612584
2020-02-14,8.210000,8.280000,8.200000,8.277000,8.277000,24782072
2020-02-17,8.280000,8.396000,8.266000,8.394000,8.394000,18537950
2020-02-18,8.380000,8.546000,8.370000,8.467000,8.467000,29279527
2020-02-19,8.529000,8.609000,8.456000,8.566000,8.566000,29512885
2020-02-20,8.571000,8.574000,8.433000,8.433000,8.433000,25125350
2020-02-21,8.439000,8.554000,8.374000,8.444000,8.444000,32896081
2020-02-24,8.177000,8.281000,7.983000,8.030000,8.030000,59326276
2020-02-25,8.090000,8.139000,7.790000,7.805000,7.805000,51023903
2020-02-26,7.757000,8.052000,7.643000,7.955000,7.955000,48392485
2020-02-27,7.859000,8.006000,7.760000,7.916000,7.916000,58616247
2020-02-28,7.664000,7.750000,7.495000,7.576000,7.576000,76280302
2020-03-02,7.630000,7.754000,7.385000,7.640000,7.640000,57127889
2020-03-03,7.774000,7.922000,7.703000,7.793000,7.793000,45210475
2020-03-04,7.801000,8.240000,7.712000,8.240000,8.240000,54535298
2020-03-05,8.237000,8.276000,8.046000,8.145000,8.145000,48758784
2020-03-06,7.969000,8.101000,7.805000,7.891000,7.891000,53033045
2020-03-09,7.251000,7.432000,7.074000,7.106000,7.106000,91542945
2020-03-10,7.135000,7.265000,6.626000,6.704000,6.704000,76313875
2020-03-11,6.832000,6.871000,6.420000,6.520000,6.520000,66134781
2020-03-12,6.045000,6.276000,5.226000,5.226000,5.226000,152932114
2020-03-13,5.586000,6.266000,5.373000,5.619000,5.619000,119384288
2020-03-16,5.600000,5.619000,5.150000,5.486000,5.486000,97116905
2020-03-17,5.754000,5.840000,5.280000,5.720000,5.720000,90494386
2020-03-18,5.650000,5.950000,5.433000,5.890000,5.890000,66440356
2020-03-19,6.000000,6.148000,5.670000,5.830000,5.830000,70115802
2020-03-20,5.888000,6.350000,5.850000,5.889000,5.889000,107295342
2020-03-23,5.669000,6.144000,5.620000,5.972000,5.972000,58030857
2020-03-24,6.200000,6.439000,6.148000,6.311000,6.311000,55946575
2020-03-25,6.459000,6.464000,6.050000,6.300000,6.300000,61879543
2020-03-26,6.213000,6.280000,6.128000,6.279000,6.279000,40473767
2020-03-27,6.154000,6.219000,6.007000,6.155000,6.155000,49756602
2020-03-30,6.220000,6.393000,6.092000,6.386000,6.386000,38751009
2020-03-31,6.408000,6.541000,6.274000,6.339000,6.339000,47604284
2020-04-01,6.208000,6.304000,5.953000,6.068000,6.068000,45818068
2020-04-02,6.099000,6.145000,5.907000,6.145000,6.145000,41478460
2020-04-03,6.157000,6.169000,6.008000,6.069000,6.069000,22689863
2020-04-06,6.200000,6.244000,6.073000,6.140000,6.140000,29472419
2020-04-07,6.277000,6.508000,6.250000,6.375000,6.375000,38445944
2020-04-08,6.283000,6.341000,6.224000,6.285000,6.285000,21158964
2020-04-09,6.351000,6.478000,6.278000,6.453000,6.453000,26930034
2020-04-14,6.482000,6.535000,6.363000,6.447000,6.447000,23762686
2020-04-15,6.405000,6.429000,6.160000,6.207000,6.207000,33644557
2020-04-16,6.270000,6.369000,6.205000,6.249000,6.249000,27459599
2020-04-17,6.364000,6.376000,6.158000,6.209000,6.209000,33429056
